Name: Jon A
Date: 01/01/2014 | Label: Pokemon Training | To: Sarah T | Amount: 7.80
Date: 07/02/2014 | Label: Beers | To: Sam N | Amount: 1.65
Date: 23/03/2014 | Label: Lunch | To: Sam N | Amount: 8.49
Date: 06/04/2014 | Label: Beers | To: Stephen S | Amount: 8.91
Date: 03/05/2014 | Label: Rails Consultancy | To: Gergana I | Amount: 10.51
Date: 19/05/2014 | Label: Beers | To: Todd | Amount: 9.04
Date: 16/07/2014 | Label: Coffee | To: Dan W | Amount: 11.75
Date: 29/07/2014 | Label: Lunch | To: Sam N | Amount: 5.31
Date: 18/08/2014 | Label: Lego Assistance | To: Tim L | Amount: 7.22
Date: 03/09/2014 | Label: Lunch | To: Tim L | Amount: 8.13
Date: 20/09/2014 | Label: Beers | To: Ben B | Amount: 3.71
Date: 24/09/2014 | Label: Golf Bets | To: Laura B | Amount: 5.61
Date: 30/09/2014 | Label: Sandbox Help | To: Dan W | Amount: 9.26
Date: 23/10/2014 | Label: Lunch | To: Dan W | Amount: 2.37
Date: 11/11/2014 | Label: Stationary Items | To: Ben B | Amount: 0.73
Date: 02/12/2014 | Label: Pokemon Training | To: Sam N | Amount: 11.04
Date: 09/12/2014 | Label: Pokemon Training | To: Chris W | Amount: 2.26
Name: Sarah T
Date: 18/02/2014 | Label: Spline Reticulation | To: Sam N | Amount: 1.60
Date: 14/03/2014 | Label: Spline Reticulation | To: Ben B | Amount: 2.10
Date: 17/03/2014 | Label: Beers | To: Stephen S | Amount: 0.66
Date: 09/06/2014 | Label: Lego Assistance | To: Stephen S | Amount: 11.50
Date: 28/06/2014 | Label: Beers | To: Gergana I | Amount: 4.03
Date: 22/07/2014 | Label: Coffee | To: Ben B | Amount: 11.56
Date: 13/08/2014 | Label: Beers | To: Todd | Amount: 8.25
Date: 27/09/2014 | Label: Beers | To: Dan W | Amount: 11.60
Date: 06/10/2014 | Label: Spline Reticulation | To: Tim L | Amount: 7.44
Date: 02/11/2014 | Label: Lego Assistance | To: Tim L | Amount: 4.67
Name: Stephen S
Date: 04/01/2014 | Label: Lunch | To: Tim L | Amount: 4.37
Date: 14/01/2014 | Label: Beers | To: Ben B | Amount: 7.36
Date: 19/01/2014 | Label: Beers | To: Gergana I | Amount: 5.88
Date: 15/02/2014 | Label: Rails Consultancy | To: Gergana I | Amount: 6.91
Date: 01/03/2014 | Label: Coffee | To: Jon A | Amount: 8.75
Date: 08/04/2014 | Label: Lego Assistance | To: Sam N | Amount: 2.96
Date: 23/04/2014 | Label: Poker Winnings | To: Rob S | Amount: 3.41
Date: 11/06/2014 | Label: Lego Assistance | To: Sam N | Amount: 5.14
Date: 16/06/2014 | Label: Lunch | To: Dan W | Amount: 4.79
Date: 23/06/2014 | Label: Spline Reticulation | To: Ben B | Amount: 11.85
